"Notes"	"Year"	"Year Code"	"State"	"State Code"	Count	Percent of Total	Rate	Population	Completion of Therapy Within One Year	Eligible for Completion of Therapy Within One Year	Percent of Completion of Therapy Within One Year Among Those Eligible	Culture-Confirmed Cases	Percentage Tested for Drug Susceptibility to Isoniazid	Percentage Tested for Drug Susceptibility to Isoniazid & Rifampin
	"2013"	"2013"	"Alabama"	"01"	108	0.03%	2.23	4833722	Not Applicable	Not Applicable	Not Applicable	83	100.00%	100.00%
	"2013"	"2013"	"Alaska"	"02"	71	0.02%	9.66	735132	Not Applicable	Not Applicable	Not Applicable	55	98.18%	98.18%
	"2013"	"2013"	"Arizona"	"04"	184	0.06%	2.78	6626624	Not Applicable	Not Applicable	Not Applicable	154	100.00%	100.00%
	"2013"	"2013"	"Arkansas"	"05"	72	0.02%	2.43	2959373	Not Applicable	Not Applicable	Not Applicable	52	98.08%	98.08%
	"2013"	"2013"	"California"	"06"	2171	0.65%	5.66	38332521	Not Applicable	Not Applicable	Not Applicable	1759	96.93%	96.99%
	"2013"	"2013"	"Colorado"	"08"	74	0.02%	1.40	5268367	Not Applicable	Not Applicable	Not Applicable	48	100.00%	100.00%
	"2013"	"2013"	"Connecticut"	"09"	62	0.02%	1.72	3596080	Not Applicable	Not Applicable	Not Applicable	51	92.16%	92.16%
	"2013"	"2013"	"Delaware"	"10"	19	0.01%	2.05	925749	Not Applicable	Not Applicable	Not Applicable	13	61.54%	61.54%
	"2013"	"2013"	"District of Columbia"	"11"	38	0.01%	5.88	646449	Not Applicable	Not Applicable	Not Applicable	26	92.31%	92.31%
	"2013"	"2013"	"Florida"	"12"	652	0.20%	3.33	19552860	Not Applicable	Not Applicable	Not Applicable	514	94.16%	94.16%
	"2013"	"2013"	"Georgia"	"13"	340	0.10%	3.40	9992167	Not Applicable	Not Applicable	Not Applicable	235	97.45%	98.72%
	"2013"	"2013"	"Hawaii"	"15"	115	0.03%	8.19	1404054	Not Applicable	Not Applicable	Not Applicable	92	97.83%	97.83%
	"2013"	"2013"	"Idaho"	"16"	11	0.00%	0.68	1612136	Not Applicable	Not Applicable	Not Applicable	9	100.00%	100.00%
	"2013"	"2013"	"Illinois"	"17"	327	0.10%	2.54	12882135	Not Applicable	Not Applicable	Not Applicable	240	96.67%	96.67%
	"2013"	"2013"	"Indiana"	"18"	94	0.03%	1.43	6570902	Not Applicable	Not Applicable	Not Applicable	73	98.63%	98.63%
	"2013"	"2013"	"Iowa"	"19"	47	0.01%	1.52	3090416	Not Applicable	Not Applicable	Not Applicable	36	88.89%	88.89%
	"2013"	"2013"	"Kansas"	"20"	36	0.01%	1.24	2893957	Not Applicable	Not Applicable	Not Applicable	32	96.88%	96.88%
	"2013"	"2013"	"Kentucky"	"21"	59	0.02%	1.34	4395295	Not Applicable	Not Applicable	Not Applicable	47	100.00%	100.00%
